,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Jarvis Landry,CLE,5,5,71,0,4,16,3.2,55,11.0,3.2,0,,0,0.0,0,118.7
1,Anthony Schwartz,CLE,5,3,69,0,2,62,20.7,7,2.3,25.2,0,,0,0.0,0,104.2
2,David Njoku,CLE,5,3,76,0,2,55,18.3,21,7.0,20.4,0,,0,0.0,0,104.2
3,Austin Hooper,CLE,3,3,27,0,2,16,5.3,11,3.7,5.3,0,,0,0.0,0,104.2
4,Kareem Hunt,CLE,3,3,28,0,1,0,0.0,28,9.3,-0.7,0,,0,0.0,0,105.6
5,Nick Chubb,CLE,2,2,18,0,2,-4,-2.0,22,11.0,-2.0,0,,0,0.0,0,104.2
6,Harrison Bryant,CLE,2,1,17,0,1,2,2.0,15,15.0,6.0,0,,0,0.0,1,39.6
7,Donovan Peoples-Jones,CLE,1,1,4,0,1,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3
8,Andy Janovich,CLE,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
10,Tyreek Hill,KAN,15,11,197,1,8,147,13.4,50,4.5,15.4,0,,0,0.0,0,137.5
11,Travis Kelce,KAN,7,6,76,2,6,45,7.5,31,5.2,7.7,2,3.0,0,0.0,0,151.5
12,Mecole Hardman,KAN,3,3,19,0,1,1,0.3,18,6.0,0.3,0,,0,0.0,0,93.1
13,Clyde Edwards-Helaire,KAN,3,3,29,0,2,-4,-1.3,33,11.0,-1.3,0,,0,0.0,0,106.9
14,Byron Pringle,KAN,2,1,6,0,,3,3.0,3,3.0,1.5,0,,0,0.0,0,56.2
15,Mike Remmers,KAN,1,1,-2,0,,0,0.0,-2,-2.0,0.0,0,,0,0.0,0,79.2
16,Demarcus Robinson,KAN,2,1,9,0,,8,8.0,1,1.0,16.5,0,,0,0.0,0,62.5
17,Blake Bell,KAN,1,1,3,0,0,1,1.0,2,2.0,1.0,0,,0,0.0,0,79.2
