,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,CeeDee Lamb,DAL,9,8,81,0,5,35,4.4,46,5.8,6.8,1,8.0,0,0.0,1,64.6
1,Amari Cooper,DAL,5,3,24,0,2,18,6.0,6,2.0,8.6,0,,0,0.0,0,72.1
2,Blake Jarwin,DAL,4,3,37,0,1,24,8.0,13,4.3,8.5,0,,0,0.0,0,103.1
3,Tony Pollard,DAL,3,3,31,0,2,-9,-3.0,40,13.3,-3.0,1,3.0,0,0.0,0,109.7
4,Ezekiel Elliott,DAL,2,2,26,0,2,15,7.5,11,5.5,0.5,0,,0,0.0,0,118.7
5,Dalton Schultz,DAL,2,2,18,0,1,9,4.5,9,4.5,4.5,0,,0,0.0,0,104.2
6,Cedrick Wilson Jr.,DAL,2,2,20,0,1,-2,-1.0,22,11.0,-1.0,0,,0,0.0,0,108.3
8,Austin Ekeler,LAC,9,9,61,0,3,10,1.1,51,5.7,1.1,1,9.0,0,0.0,0,94.9
9,Mike Williams,LAC,10,7,91,1,4,45,6.4,46,6.6,8.6,1,7.0,0,0.0,0,131.7
10,Keenan Allen,LAC,8,4,108,0,4,84,21.0,24,6.0,13.6,0,,2,25.0,2,56.2
11,Jared Cook,LAC,5,3,28,0,1,11,3.7,17,5.7,6.8,0,,1,20.0,0,75.4
12,Stephen Anderson,LAC,2,2,9,0,,3,1.5,6,3.0,1.5,0,,0,0.0,0,85.4
13,Jalen Guyton,LAC,2,2,13,0,0,8,4.0,5,2.5,4.0,0,,0,0.0,0,93.7
14,Josh Palmer,LAC,2,2,21,0,1,8,4.0,13,6.5,4.0,0,,0,0.0,0,110.4
15,Justin Jackson,LAC,1,1,8,0,0,2,2.0,6,6.0,2.0,0,,0,0.0,0,100.0
16,Larry Rountree,LAC,1,1,-1,0,,-1,-1.0,0,0.0,-1.0,0,,0,0.0,0,79.2
